trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R1e_T09,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T09,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T09,10:21:00,10:21:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T09,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T09,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T09,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T09,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T09,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T09,10:23:00,10:28:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T09,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T09,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T09,10:35:00,10:35:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T10,10:21:00,10:21:00,195,1,Shopko,,,0
R1e_T10,,,404,2,Shopko,,,1.639
R1e_T10,,,193,3,Shopko,,,2.276
R1e_T10,,,1153,4,Shopko,,,2.417
R1e_T10,,,1154,5,Shopko,,,2.617
R1e_T10,,,1155,6,Shopko,,,2.897
R1e_T10,10:27:00,10:27:00,202,7,Shopko,,,3.217
R1e_T10,,,258,8,Shopko,,,3.77
R1e_T10,,,259,9,Shopko,,,3.978
R1e_T10,,,260,10,Shopko,,,4.491
R1e_T10,,,261,11,Shopko,,,5.207
R1e_T10,10:32:00,10:32:00,262,12,Shopko,,,5.459
R1e_T10,,,263,13,Transfer Center,,,5.784
R1e_T10,,,264,14,Transfer Center,,,6.231
R1e_T10,,,1173,15,Transfer Center,,,6.47
R1e_T10,,,1174,16,Transfer Center,,,6.741
R1e_T10,,,1167,17,Transfer Center,,,7.273
R1e_T10,,,1156,18,Transfer Center,,,7.369
R1e_T10,,,351,19,Transfer Center,,,7.819
R1e_T10,10:40:00,10:45:00,148,20,Transfer Center,,,8.19
R1e_T10,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T10,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T10,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T10,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T10,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T10,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T10,10:51:00,10:51:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T10,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T10,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T10,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T10,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T10,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T10,10:53:00,10:58:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T10,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T10,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T10,11:05:00,11:05:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T11,10:51:00,10:51:00,195,1,Shopko,,,0
R1e_T11,,,404,2,Shopko,,,1.639
R1e_T11,,,193,3,Shopko,,,2.276
R1e_T11,,,1153,4,Shopko,,,2.417
R1e_T11,,,1154,5,Shopko,,,2.617
R1e_T11,,,1155,6,Shopko,,,2.897
R1e_T11,10:57:00,10:57:00,202,7,Shopko,,,3.217
R1e_T11,,,258,8,Shopko,,,3.77
R1e_T11,,,259,9,Shopko,,,3.978
R1e_T11,,,260,10,Shopko,,,4.491
R1e_T11,,,261,11,Shopko,,,5.207
R1e_T11,11:02:00,11:02:00,262,12,Shopko,,,5.459
R1e_T11,,,263,13,Transfer Center,,,5.784
R1e_T11,,,264,14,Transfer Center,,,6.231
R1e_T11,,,1173,15,Transfer Center,,,6.47
R1e_T11,,,1174,16,Transfer Center,,,6.741
R1e_T11,,,1167,17,Transfer Center,,,7.273
R1e_T11,,,1156,18,Transfer Center,,,7.369
R1e_T11,,,351,19,Transfer Center,,,7.819
R1e_T11,11:10:00,11:15:00,148,20,Transfer Center,,,8.19
R1e_T11,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T11,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T11,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T11,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T11,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T11,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T11,11:21:00,11:21:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T11,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T11,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T11,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T11,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T11,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T11,11:23:00,11:28:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T11,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T11,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T11,11:35:00,11:35:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T12,11:21:00,11:21:00,195,1,Shopko,,,0
R1e_T12,,,404,2,Shopko,,,1.639
R1e_T12,,,193,3,Shopko,,,2.276
R1e_T12,,,1153,4,Shopko,,,2.417
R1e_T12,,,1154,5,Shopko,,,2.617
R1e_T12,,,1155,6,Shopko,,,2.897
R1e_T12,11:27:00,11:27:00,202,7,Shopko,,,3.217
R1e_T12,,,258,8,Shopko,,,3.77
R1e_T12,,,259,9,Shopko,,,3.978
R1e_T12,,,260,10,Shopko,,,4.491
R1e_T12,,,261,11,Shopko,,,5.207
R1e_T12,11:32:00,11:32:00,262,12,Shopko,,,5.459
R1e_T12,,,263,13,Transfer Center,,,5.784
R1e_T12,,,264,14,Transfer Center,,,6.231
R1e_T12,,,1173,15,Transfer Center,,,6.47
R1e_T12,,,1174,16,Transfer Center,,,6.741
R1e_T12,,,1167,17,Transfer Center,,,7.273
R1e_T12,,,1156,18,Transfer Center,,,7.369
R1e_T12,,,351,19,Transfer Center,,,7.819
R1e_T12,11:40:00,11:45:00,148,20,Transfer Center,,,8.19
R1e_T12,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T12,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T12,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T12,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T12,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T12,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T12,11:51:00,11:51:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T12,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T12,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T12,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T12,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T12,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T12,11:53:00,11:58:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T12,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T12,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T12,12:05:00,12:05:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T13,11:51:00,11:51:00,195,1,Shopko,,,0
R1e_T13,,,404,2,Shopko,,,1.639
R1e_T13,,,193,3,Shopko,,,2.276
R1e_T13,,,1153,4,Shopko,,,2.417
R1e_T13,,,1154,5,Shopko,,,2.617
R1e_T13,,,1155,6,Shopko,,,2.897
R1e_T13,11:57:00,11:57:00,202,7,Shopko,,,3.217
R1e_T13,,,258,8,Shopko,,,3.77
R1e_T13,,,259,9,Shopko,,,3.978
