trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
A6,12,rvmu,16:59:00,16:59:00,,0,0,1,1,64431.26902947923,
A6,13,yn9h,17:02:00,17:02:00,,0,0,,,66392.51659182744,
A6,14,a1vl,17:05:00,17:05:00,,0,0,1,1,67918.24117715143,
A6,15,qk1j,17:10:00,17:10:00,,0,0,,,75624.25541322352,
A6,16,97t9,17:18:00,17:18:00,,0,0,,,78197.23181055477,
A6,17,8g7r,17:25:00,17:25:00,,0,0,,,80980.82295606672,
A4,0,8g7r,11:25:00,11:25:00,,0,0,,,0,
A4,1,xe87,11:36:00,11:36:00,,0,0,,,2800.1599986012957,
A4,2,z32m,11:45:00,11:45:00,,0,0,,,12123.63133432831,
A4,3,fwsa,11:53:00,11:53:00,,0,0,,,23944.798034231047,
A4,4,f42j,11:59:00,11:59:00,,0,0,,,26416.216439382646,
A4,5,0ebt,12:04:00,12:04:00,,0,0,,,29252.6740755107,
A4,6,3ahw,12:09:00,12:09:00,,0,0,,,31522.048029407888,
A4,7,grhv,12:15:00,12:15:00,,0,0,1,1,32753.246532050445,
A4,8,4xc1,12:35:00,12:35:00,,0,0,,,42089.07320392839,
A4,9,ospq,12:48:00,12:48:00,,0,0,,,53715.205386531445,
A4,10,ej0z,12:53:00,12:53:00,,0,0,,,58098.6198037648,
A4,11,u9g0,12:57:00,12:57:00,,0,0,,,61273.68092338422,
A4,12,rvmu,12:59:00,12:59:00,,0,0,1,1,64431.26902947923,
A4,13,yn9h,13:02:00,13:02:00,,0,0,,,66392.51659182744,
A4,14,a1vl,13:05:00,13:05:00,,0,0,1,1,67918.24117715143,
A4,15,qk1j,13:10:00,13:10:00,,0,0,,,75624.25541322352,
A4,16,97t9,13:18:00,13:18:00,,0,0,,,78197.23181055477,
A4,17,8g7r,13:25:00,13:25:00,,0,0,,,80980.82295606672,
6ba57e7f-9c10-4573-8822-53eebe4206f6,0,fwsa,06:00:00,06:00:00,,0,0,1,1,0,
6ba57e7f-9c10-4573-8822-53eebe4206f6,1,3iuo,06:15:00,06:15:00,,0,0,1,1,21536.33717637628,
6ba57e7f-9c10-4573-8822-53eebe4206f6,2,icz6,06:20:00,06:20:00,,0,0,1,1,23690.27899025863,
6ba57e7f-9c10-4573-8822-53eebe4206f6,3,6wvr,06:25:00,06:25:00,,0,0,1,1,29887.618644144095,
6ba57e7f-9c10-4573-8822-53eebe4206f6,4,znyl,06:32:00,06:32:00,,0,0,1,1,37709.63170679832,
6ba57e7f-9c10-4573-8822-53eebe4206f6,5,f1tv,06:43:00,06:43:00,,0,0,1,1,47757.01690340304,
6ba57e7f-9c10-4573-8822-53eebe4206f6,6,xx84,06:45:00,06:45:00,,0,0,1,1,48831.93101900852,
6ba57e7f-9c10-4573-8822-53eebe4206f6,7,zv87,06:48:00,06:48:00,,0,0,1,1,50361.005529573464,
6ba57e7f-9c10-4573-8822-53eebe4206f6,8,irkp,06:50:00,06:50:00,,0,0,1,1,50966.21907248636,
6ba57e7f-9c10-4573-8822-53eebe4206f6,9,x3d2,06:51:00,06:51:00,,0,0,1,1,51540.719283290055,
6ba57e7f-9c10-4573-8822-53eebe4206f6,10,kpn0,06:53:00,06:53:00,,0,0,1,1,52033.8642394758,
6ba57e7f-9c10-4573-8822-53eebe4206f6,11,x4si,06:55:00,06:55:00,,0,0,1,1,52562.75306096036,
6ba57e7f-9c10-4573-8822-53eebe4206f6,12,wivd,07:05:00,07:05:00,,0,0,1,1,57576.53578250319,
6ba57e7f-9c10-4573-8822-53eebe4206f6,13,znyl,07:10:00,07:10:00,,0,0,1,1,59493.33071236328,
6ba57e7f-9c10-4573-8822-53eebe4206f6,14,6wvr,07:15:00,07:15:00,,0,0,1,1,67315.34377501752,
6ba57e7f-9c10-4573-8822-53eebe4206f6,15,icz6,07:25:00,07:25:00,,0,0,1,1,73512.68342890305,
6ba57e7f-9c10-4573-8822-53eebe4206f6,16,3iuo,07:28:00,07:28:00,,0,0,1,1,75666.62524278536,
6ba57e7f-9c10-4573-8822-53eebe4206f6,17,4xc1,07:40:00,07:40:00,,0,0,1,1,85214.12277600967,
6ba57e7f-9c10-4573-8822-53eebe4206f6,18,61es,07:47:00,07:47:00,,0,0,1,1,95861.66493924065,
