stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
10358,FAROTISS,FARM SPRINGS RD & OTIS ELEVATOR,,41.708063,-72.803905,,,,,
1036,FOR40W,FOREST ST & 40 FOREST ST,,41.74957,-72.603778,,,,,
10360,PASPRICN,PASCONE PL & PRICE CHOPPER,,41.668717,-72.719765,,,,,
10361,MASSTEWW,MASELLI RD & STEW LEONARDS,,41.650388,-72.730219,,,,,
10362,WALBERMN,WAL - MART & BERLIN TPKE,,41.662176,-72.720465,,,,,
10364,EMAiNEWE,E MAIN ST & OPP NEW BRITAIN PLAZA,,41.670361,-72.779116,,,,,
10366,EMASTAE,E MAIN ST & STANLEY ST,,41.671225,-72.771361,,,,,
10367,EMAOLIE,E MAIN ST & OPP OLIVE ST,,41.671456,-72.768784,,,,,
10368,EMACOTE,E MAIN ST & OPP COTTAGE PL,,41.671839,-72.764767,,,,,
1037,FORFORW,FOREST ST & FORBES ST,,41.74917,-72.605087,,,,,
10370,EASSUNN,EAST ST & SUNRISE AVE,,41.673285,-72.762479,,,,,
10371,EASJUDN,EAST ST & JUDD AVE,,41.675019,-72.762114,,,,,
10372,EASCITN,EAST ST & CITY AVE,,41.676189,-72.761919,,,,,
10373,EASTHON,EAST ST & THORNILEY ST,,41.677494,-72.761833,,,,,
10374,DIXEASE,DIX AVE & EAST ST,,41.680443,-72.761734,,,,,
10375,DIX1STE,DIX ST & 1ST ST,,41.680585,-72.760306,,,,,
10376,DIXBEDE,DIX ST & OPP BEDFORD ST,,41.680683,-72.759108,,,,,
10377,DIXCAME,DIX ST & OPP CAMDEN ST,,41.680789,-72.758031,,,,,
10378,DIX5THE,DIX ST & 5TH ST,,41.680994,-72.755901,,,,,
1038,FORSALN,FORBES ST & OPP SALEM RD,,41.745488,-72.604917,,,,,
10381,THO4THW,THORNILEY ST & 4TH ST,,41.678215,-72.755892,,,,,
