stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
45120,,Lucky Eagle,,46.815305,-123.154732,oly,,,,,
45125,,Rochester Merc EastBound,,46.82172,-123.096595,oly,,,,,
45130,,Melrose St Roch WestBound,,46.8219118988207,-123.083117008209,oly,,,,,
45135,,Melrose St Roch EastBound,,46.8217467170192,-123.082998991012,oly,,,,,
45140,,Rochester Merc WestBound,,46.821891,-123.096819,oly,,,,,
45145,,Centralia - Amtrak,,46.7172576515543,-122.953153252601,oly,,,,,
50100,,Highway 101 at Hensel Rd. Southbound,,47.185476,-123.91819,ghc,,,,,
50101,,Highway 101 at Armstrong Northbound,,47.185905,-123.91894,ghc,,,,,
50105,,Neilton Northbound,,47.411289,-123.882607,ghc,,,,,
50107,,Prairie Market Northbound,,47.195857,-123.948429,ghc,,,,,
50108,,Prairie Market Southbound,,47.195473,-123.947932,ghc,,,,,
50120,,Quinault Merc,,47.467133,-123.847024,ghc,,,,,
50125,,Amanda Park Merc,,47.4590707323888,-123.891258537769,ghc,,,,,
50130,,North Shore - Brannon's Grocery,,47.469122,-123.923511,ghc,,,,,
50135,,Crane Creek - Parking Lot,,47.474577,-124.011368,ghc,,,,,
50140,,North Shore Rd & Hwy 101,,47.4688698992071,-123.923833966255,ghc,,,,,
50145,,Neilton Southbound,,47.411672,-123.88271,ghc,,,,,
50147,,Highway 101 at Burn Rd Northbound,,47.402802,-123.888363,ghc,,,,,
50150,,Humptulips across from Park at Ride Southbound,,47.2318233041957,-123.959748744965,ghc,,,,,
50151,,Humptulips Park and Ride Northbound,,47.231178,-123.960164,ghc,,,,,
50160,,Highway 101 at Poulson Camp Northbound,,47.1619117896536,-123.879207372665,ghc,,,,,
50165,,Highway 101 at Poulson Camp Southbound,,47.1612552494725,-123.879926204681,ghc,,,,,
60001,,Emerson at Spencer,,46.981175,-123.906808,ghc,,,,,
60002,,SR 109 at Grays Harbor Blvd NorthBound,,46.983433,-123.94985,ghc,,,,,
60004,,SR 109 at Broadway Hill Rd NorthBound,,46.984129,-123.960135,ghc,,,,,
60008,,Ocean Shores Blvd at Barnacle,,47.011076,-124.166491,ghc,,,,,
60012,,Ocean Shores Transit Center,,47.0069481447815,-124.167695045471,ghc,,,,,
60015,,Ocean Shores Shell,,47.007949,-124.161139,ghc,,,,,
60020,,Ocean Shores Marina,,46.951671,-124.131952,ghc,,,,,
60032,,North Beach High School,,47.017526173468,-124.158811569214,ghc,,,,,
60036,,Ocean City SouthBound,,47.0710849,-124.166431,ghc,,,,,
60037,,Ocean City NorthBound,,47.070908,-124.166097,ghc,,,,,
60040,,Copalis Beach Medical NorthBound,,47.1044009560051,-124.172705411911,ghc,,,,,
60041,,Copalis Beach Medical SouthBound,,47.1043680936699,-124.172957539558,ghc,,,,,
60042,,Copalis Beach Grocery NorthBound,,47.1128,-124.173748,ghc,,,,,
60043,,Copalis Beach Grocery SouthBound,,47.111147,-124.173979,ghc,,,,,
60044,,Copalis Beach SouthBound,,47.1149450665434,-124.170452356338,ghc,,,,,
60045,,Copalis Beach NorthBound,,47.1147223766616,-124.170645475387,ghc,,,,,
60046,,Seabrook SouthBound,,47.196378,-124.199687,ghc,,,,,
60047,,Seabrook NorthBound,,47.1964015608255,-124.19947117567,ghc,,,,,
60048,,Pacific Beach Post Office,,47.209329,-124.199013,ghc,,,,,
60052,,Moclips NorthBound,,47.235774,-124.213565,ghc,,,,,
60054,,Moclips SouthBound,,47.235628,-124.21389,ghc,,,,,
60056,,Copalis Crossing Texaco,,47.112395,-124.078588,ghc,,,,,
60060,,Taholah - Quinault & 2nd,,47.347492,-124.293883,ghc,,,,,
60075,,Quinault Beach Resort & Casino,,47.042185,-124.170617,ghc,,,,,
